"Assay "	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[genotype]"	"Sample Characteristic Ontology Term[genotype]"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[phenotype]"	"Sample Characteristic Ontology Term[phenotype]"	"Factor Value[phenotype]"	"Factor Value Ontology Term[phenotype]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"SAMEA4651706"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183989"	
"SAMEA4651707"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183990"	
"SAMEA4651708"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183991"	
"SAMEA4651709"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183992"	
"SAMEA4651710"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183993"	
"SAMEA4651711"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183994"	
"SAMEA4651712"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183995"	
"SAMEA4651713"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183996"	
"SAMEA4651714"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183997"	
"SAMEA4651715"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183998"	
"SAMEA4651716"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6183999"	
"SAMEA4651717"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184000"	
"SAMEA4651718"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184001"	
"SAMEA4651719"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184002"	
"SAMEA4651720"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184003"	
"SAMEA4651721"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184004"	
"SAMEA4651722"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184005"	
"SAMEA4651723"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184006"	
"SAMEA4651724"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184007"	
"SAMEA4651725"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184008"	
"SAMEA4651726"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184009"	
"SAMEA4651727"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184010"	
"SAMEA4651728"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184011"	
"SAMEA4651729"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184012"	
"SAMEA4651730"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184013"	
"SAMEA4651731"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184014"	
"SAMEA4651732"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184015"	
"SAMEA4651733"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184016"	
"SAMEA4651734"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184017"	
"SAMEA4651735"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184018"	
"SAMEA4651736"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184019"	
"SAMEA4651737"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184020"	
"SAMEA4651738"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184021"	
"SAMEA4651739"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184022"	
"SAMEA4651740"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184023"	
"SAMEA4651741"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184024"	
"SAMEA4651742"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184025"	
"SAMEA4651743"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184026"	
"SAMEA4651744"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184027"	
"SAMEA4651745"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184028"	
"SAMEA4651746"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184029"	
"SAMEA4651747"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184030"	
"SAMEA4651748"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184031"	
"SAMEA4651749"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184032"	
"SAMEA4651750"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184033"	
"SAMEA4651751"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184034"	
"SAMEA4651752"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184035"	
"SAMEA4651753"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184036"	
"SAMEA4651754"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184037"	
"SAMEA4651755"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184038"	
"SAMEA4651756"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184039"	
"SAMEA4651757"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184040"	
"SAMEA4651758"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184041"	
"SAMEA4651759"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184042"	
"SAMEA4651760"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184043"	
"SAMEA4651761"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184044"	
"SAMEA4651762"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6184045"	
